episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
79,7,1,-407.7437997084685,0,1,0,700,0.6730128848950395,-429.4733766037867,0,10,-411.3444776754846,0,4,-399.1950153677634,0,0,-399.3239436693867,0,0,-399.3821852259199,0,0
80,1,0,154.19850705637327,1,0,0,119,0.6696478204705644,157.4266384871479,0,0,157.09658198843573,0,0,157.20433338332003,0,0,156.94658590853822,0,0,142.31839551442442,1,0
81,2,1,-426.4315525150593,0,1,0,700,0.6662995813682115,-399.27370605910727,0,0,-399.2912847112279,0,0,-399.25231855033144,0,0,-504.6223321615097,7,0,-429.7181210931222,2,0
82,10,1,-413.2679102764745,0,1,0,700,0.6629680834613705,-399.1233937643305,0,0,-399.3128980436103,0,0,-468.42298752617705,0,23,-399.6528914291727,0,0,-399.8273806190827,0,0
83,2,0,-71.93979075657495,1,0,0,409,0.6596532430440636,-71.07762420933452,0,0,-77.30384139540678,0,2,-70.82046610953208,0,0,-70.51940240465942,0,0,-69.97761966394197,0,0
84,6,0,-431.77005044789286,0,1,0,700,0.6563549768288433,-404.6560972905984,0,2,-428.66065738488845,2,0,-407.887017973292,0,3,-458.8459607073383,4,0,-458.8005188833442,4,0
85,2,0,74.49085489800291,1,0,0,222,0.653073201944699,76.54735398060426,0,0,76.12961521956338,0,0,75.99323764777195,0,0,76.1889099292366,0,0,67.59515771283888,0,3
86,6,1,-399.15304495292105,0,1,0,700,0.6498078359349755,-398.91619364880336,0,0,-399.1623192735007,0,0,-399.22200085403614,0,0,-399.23057464236314,0,0,-399.23413634590264,0,0
87,0,0,-399.92468015246175,0,1,0,700,0.6465587967553006,-399.3735600356876,0,0,-399.5779807456222,0,0,-399.5019771215664,0,0,-399.06729232382554,0,0,-402.10259053560907,0,1
88,11,0,-399.2777233077192,0,1,0,700,0.6433260027715241,-399.07359514581213,0,0,-399.2026365749613,0,0,-399.4122193322613,0,0,-399.41489305400745,0,0,-399.28527243155395,0,0
89,7,0,-399.01400272531976,0,1,0,700,0.6401093727576664,-399.14129301162285,0,0,-399.0114276179086,0,0,-399.2567744131738,0,0,-398.96475534525644,0,0,-398.6957632386369,0,0
90,3,0,-413.9700286597532,0,1,0,700,0.6369088258938781,-398.0487820460418,0,0,-473.4973952522353,5,0,-399.0398969590548,0,0,-399.6344138166914,0,0,-399.6296552247441,0,0
91,5,1,-498.99699140247446,0,1,0,700,0.6337242817644086,-639.272859361825,16,0,-462.35460698834163,3,6,-594.589464926827,13,0,-399.3179612717955,0,0,-399.45006446358695,0,0
92,10,0,-407.2314635083148,0,1,0,700,0.6305556603555866,-414.45908557922394,1,0,-399.55336019069654,0,0,-399.2424922508884,0,0,-399.3921528992282,0,0,-423.510226621537,0,8
93,1,1,-550.7668401114029,0,1,0,700,0.6274028820538087,-567.7313894990351,10,6,-597.7995138044158,12,6,-489.6543032358748,6,0,-624.5289684386922,15,0,-474.1200255789988,5,0
94,4,0,-507.0599243555588,0,1,0,700,0.6242658676435396,-504.5395949157112,0,35,-399.47371759784943,0,0,-468.6134986911342,0,23,-759.5946057476785,24,0,-403.07820482542195,0,1
95,11,1,-555.8284737359455,0,1,0,700,0.6211445383053219,-413.7155763751496,1,0,-1029.0885677147915,42,0,-399.30618789456963,0,0,-417.52155708387437,0,6,-519.5104796113433,0,40
96,0,1,-407.95588959931933,0,1,0,700,0.6180388156137953,-398.7122542813674,0,0,-444.03777196062424,3,0,-398.9559967243201,0,0,-398.90847922718604,0,0,-399.16494580309615,0,0
97,8,1,-456.365792188629,0,1,0,700,0.6149486215357263,-519.2693881840316,8,0,-429.2635528235127,2,0,-519.2662137589994,8,0,-399.3640010186728,0,0,-414.66580515792936,1,0
