episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
69,3,3,204.9062698875155,1,0,0,46,215.20612390977996,0,0,-49.23677033185959,0,9,-22.40980252623558,0,0,-43.859858751297,0,7,-22.596914291381836,0,0
70,0,0,-1420.9666459679627,0,1,0,700,-902.794745773077,17,82,-490.16713976860046,0,46,-790.1164867579937,12,86,-2425.285367399454,115,116,-2296.4694901406765,82,239
71,6,1,-1283.1480723738678,0,1,0,700,-1494.2812744379044,27,230,-460.3724122643471,0,37,-874.4229582250118,27,40,-1369.4397761821747,56,60,-2017.2239407598972,101,51
72,6,0,-1036.256189620495,0,1,0,700,-1208.7114576995373,1,266,-484.0952534377575,0,45,-994.097868770361,43,0,-1057.234384983778,36,56,-1237.1419832110405,42,86
73,7,0,-626.6213825047017,0,1,0,700,-991.5071605741978,7,163,-500.9910244047642,0,51,-368.90317183732986,0,7,-411.3214422762394,0,21,-660.3841134309769,9,59
74,1,3,-876.8176645381113,1,0,0,695,-1769.7801350397724,73,127,-567.3046569526196,8,34,-672.6068607866764,21,4,-607.0913088023663,0,87,-973.0196468234062,0,209
75,7,2,-564.4138715744018,0,1,0,700,-618.0109876692295,0,74,-502.0532669723034,0,52,-523.0710340440273,1,54,-631.6875694096088,2,85,-347.2464997768402,0,0
76,7,2,232.46810737422535,1,0,0,23,232.7709470646722,0,0,-10.975036203861237,0,0,-11.149569541215897,0,0,-11.097896754741669,0,0,-10.92219340801239,0,0
77,2,2,-500.4434707581999,0,1,0,700,-398.4106057584286,0,0,-483.8048548102379,0,45,-592.0785188674927,0,81,-442.3754049837589,0,31,-385.5479693710804,0,12
78,4,3,87.22668539200512,1,0,0,209,87.9333845249244,0,0,-102.72174671292305,0,0,-103.23286658525467,0,0,-103.49164733290672,0,0,-103.4965540766716,0,0
79,0,1,-513.9894827723504,0,1,0,700,-439.74955654144287,0,14,-363.29426458477974,0,5,-444.35220569372177,0,32,-618.2654665708542,0,90,-504.285920470953,0,52
80,5,3,42.4352805657046,1,0,1,257,50.019206051315564,0,0,-127.07433921098709,0,0,-127.58287480473518,1,0,-146.0721643269062,0,6,-143.3991391658783,1,0
81,3,0,0.09225577626895642,1,0,0,272,39.0212301484176,0,0,-160.71041557192802,0,9,-133.68786132335663,0,0,-293.00367683172226,0,53,-140.30085468292236,0,2
82,2,0,-18.29280909895894,1,0,0,301,0.3936513662338257,1,0,-149.03778198361397,0,0,-299.2856779694557,10,0,-149.70174971222878,0,0,-149.8324871957302,0,0
83,0,2,-758.2710459530344,0,1,0,700,-534.694602638483,9,0,-353.03176990151405,0,1,-689.1076616644859,0,113,-851.3784464001656,0,167,-1163.1427491605282,0,271
84,4,3,45.686420215027766,1,0,0,239,-25.819708185536513,6,0,-117.96568614244461,0,0,-117.86146757006645,0,0,-118.20627617835999,0,0,-118.57190370559692,0,0
85,3,2,-661.0078822553158,0,1,0,700,-757.9617135226727,16,41,-350.8816328048706,0,1,-600.3445014953613,0,84,-495.23456478118896,0,49,-900.6169986724854,18,94
86,0,1,51.087613792930384,1,0,0,254,51.72393309644292,0,0,-126.2849802672863,0,0,-126.70045444369316,0,0,-126.47622892260551,0,0,-126.53848621249199,0,0
87,5,2,-1094.2507631897927,0,1,0,700,-2693.9189302921295,140,65,-694.3191333115101,23,0,-556.7522230148315,12,9,-598.7056922316551,0,83,-727.5578370988369,0,126
88,2,3,-438.6981539905071,0,1,0,700,-400.2318927049637,0,1,-347.18043661117554,0,0,-347.26893973350525,0,0,-392.4497184455395,0,15,-506.3597824573517,0,53
89,3,1,-461.2629260122772,0,1,0,700,-426.77199709415436,0,9,-349.9081330001354,0,0,-521.2882285118103,0,57,-458.3568360507488,0,37,-349.9894354045391,0,0
90,1,0,-492.75644503235833,0,1,0,700,-505.64524233341217,0,36,-431.43635588884354,0,28,-422.1453510224819,0,25,-506.3110958337784,0,53,-398.24418008327484,0,17
91,1,1,-631.4127248823642,0,1,0,700,-668.1879144608974,18,0,-918.5383801162243,38,0,-363.64907425642014,1,0,-657.7995389401913,17,18,-348.8887166380882,0,0
92,5,0,-1045.6298421561728,0,1,2,700,-594.5057379901409,13,0,-2206.9493312835693,123,9,-1205.2294218838215,58,0,-395.3710494339466,0,15,-626.0936701893806,18,2
93,1,2,-940.2008240342137,0,1,0,700,-907.8547767996788,34,0,-1412.7731676399708,71,0,-467.7398852407932,8,0,-719.8363985419273,23,9,-992.7998919487,0,215
94,5,1,-413.8359308302405,0,1,0,700,-398.3104772269726,0,0,-348.7397160232067,0,0,-423.77269145846367,5,0,-349.14778184890747,0,0,-349.2089875936508,0,0
95,4,0,-399.53287743926035,0,1,0,700,-398.9628304839134,0,0,-349.4981631934643,0,0,-349.6474656164646,0,0,-349.80412396788597,0,0,-349.7518039345741,0,0
96,7,1,-409.915620291233,0,1,0,700,-452.66440641880035,0,18,-348.8957121372223,0,0,-348.98110580444336,0,0,-349.396860063076,0,0,-349.6400170326233,0,0
97,6,2,-936.9247560501095,0,1,0,700,-398.70044353604317,0,0,-604.1190415620804,17,0,-2119.5370514392853,118,0,-853.7233871519566,27,33,-508.54385656118393,0,53
98,4,1,-485.9035378038883,0,1,0,700,-399.20013976097107,0,0,-349.32805529236794,0,0,-349.60946649312973,0,0,-454.72782573103905,0,35,-676.6522017419338,0,109
99,0,3,-485.52034876346573,0,1,0,700,-398.66703575849533,0,0,-453.91838070750237,7,0,-529.1105776131153,12,0,-394.35426077246666,3,0,-451.55148896574974,0,34
100,6,3,-405.0759371936315,0,1,0,700,-398.7602564692497,0,0,-348.69092521071434,0,0,-349.1444913446903,0,0,-349.43590238690376,0,0,-379.3481105566025,0,10
101,4,2,-643.9378857910624,0,1,0,700,-646.6986553072929,1,78,-347.9467117488384,0,0,-752.9760862290859,27,0,-371.870930403471,0,8,-900.1970452666283,0,184
102,7,3,-1475.5178368091563,0,1,2,700,-3563.454115152359,212,0,-1101.7659966051579,44,36,-598.2079140543938,0,83,-1390.640990972519,0,347,-523.5201672613621,0,58
103,2,1,-718.1691241323946,0,1,0,700,-471.66142612695694,3,9,-397.5586997270584,0,16,-442.5675337612629,0,31,-703.607995480299,0,118,-1375.4499655663967,0,342
104,3,1,217.01990086521423,1,0,0,43,217.94525824274336,0,0,-20.37002596259117,0,0,-20.665096312761307,0,0,-21.27676185965538,0,0,-21.391012638807297,0,0
105,2,3,204.8241038824831,1,0,0,59,205.68477524178368,0,0,-27.9570070207119,0,0,-28.407860159873962,0,0,-28.810823500156403,0,0,-28.959993720054626,0,0
106,3,3,-535.5608379900452,0,1,0,700,-545.1462244689465,9,4,-351.346255004406,0,1,-348.04776161909103,0,0,-789.2576254606247,0,147,-444.0063233971596,0,32
107,0,3,201.41145649807794,1,0,0,52,207.1630653824125,0,1,-46.54828795790672,0,7,-25.423889487981796,0,0,-40.581911116838455,0,5,-28.12312290072441,0,1
108,0,0,-912.4552053213124,0,1,0,700,-968.2943551242352,38,0,-534.7364483475685,8,22,-736.0582588911057,0,129,-1399.1301401853561,0,350,-724.0568240582943,0,125
109,6,1,-404.9195919215681,0,1,0,700,-398.5551927089691,0,0,-348.78523248434067,0,0,-349.0569771826267,0,0,-379.2985463440418,0,10,-348.90201088786125,0,0
110,6,1,241.9041240666594,1,0,0,11,241.93401615960258,0,0,-4.889278769493103,0,0,-5.084396481513977,0,0,-4.9478859305381775,0,0,-4.920406073331833,0,0
111,4,2,157.04086567589218,1,0,0,96,98.38795537182264,0,26,-46.76797637343407,0,0,-61.80816784501076,1,0,-47.18527606129646,0,0,-47.707920998334885,0,0
112,3,0,-191.18820034606117,1,0,0,528,-164.73055823785919,0,1,-260.89155796170235,0,0,-395.88234919309616,9,0,-260.9589258134365,0,0,-270.0490390956402,0,3
113,6,0,-504.33970390558267,0,1,0,700,-398.70007365942,0,0,-393.9128923714161,3,0,-829.1348679363728,32,0,-349.6864541172981,0,0,-350.26423144340515,0,0
114,7,0,-398.5338508665561,0,1,0,700,-397.9126222729683,0,0,-348.4321418106556,0,0,-348.43731582164764,0,0,-348.9468958377838,0,0,-348.9402785897255,0,0
115,1,3,-518.7556240856652,0,1,0,700,-399.63384851813316,0,0,-349.653352946043,0,0,-463.3497480750084,0,38,-787.0202258527279,0,146,-394.1209450364113,0,15
116,1,3,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1
117,7,2,-401.50134166479114,0,1,0,700,-412.94648599624634,1,0,-348.09325206279755,0,0,-348.5999949872494,0,0,-348.8594311475754,0,0,-349.0075441300869,0,0
118,2,2,-458.5312552332876,0,1,0,700,-398.518738001585,0,0,-633.6811925470829,19,0,-348.7023989856243,0,0,-363.55330669879913,0,5,-348.2006399333477,0,0
119,2,2,218.58094167028153,1,0,0,41,218.80323182259286,0,0,-19.788148015737534,0,0,-19.965942561626434,0,0,-19.919513285160065,0,0,-19.36777675151825,0,0
