episode,worker_id,env_idx,reward,success,timeout,collisions,steps,eps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
40,3,0,-586.3126699172425,0,1,0,700,0.8183201210226743,-984.9313089989279,34,25,-495.8309589449034,0,32,-495.5586515014507,6,2,-471.577033856625,3,9,-483.6653962843098,0,28
41,6,1,-634.0362965004294,0,1,0,700,0.8142285204175609,-654.5071375836735,12,25,-636.4643322308036,14,9,-660.4759744526834,15,12,-711.469476910786,20,4,-507.26456132420105,0,36
42,1,0,-401.9393170499661,0,1,0,700,0.810157377815473,-413.7940912087574,0,5,-398.64956768573256,0,0,-398.8962024233564,0,0,-399.09140955561634,0,0,-399.2653143763665,0,0
43,7,1,-451.3128105690656,0,1,0,700,0.8061065909263957,-521.9900395081968,7,6,-416.89457934158946,0,6,-518.9706698246393,8,0,-399.3640642345447,0,0,-399.3446999363592,0,0
44,0,1,-399.6635160026279,0,1,0,700,0.8020760579717637,-399.1716095693534,0,0,-399.25825636942983,0,0,-399.5368438522568,0,0,-400.07312983718685,0,0,-400.2777403849102,0,0
45,5,1,-398.6790288466775,0,1,0,700,0.798065677681905,-397.8100858505016,0,0,-398.2880832083994,0,0,-398.85614012459354,0,0,-399.0040455730269,0,0,-399.43678947686533,0,0
46,3,1,-790.0995232230518,0,1,0,700,0.7940753492934954,-669.5859797577641,17,5,-1104.4792097640377,47,0,-1284.6726826665854,59,0,-477.414752782771,0,26,-414.34499114410363,0,5
47,1,1,-399.6347656862722,0,1,0,700,0.7901049725470279,-399.67732676451635,0,0,-399.6286953780346,0,0,-399.71602583754265,0,0,-399.7862589478899,0,0,-399.36552150337684,0,0
48,4,0,-520.0768134750136,0,1,0,700,0.7861544476842928,-483.8945897938977,3,13,-540.573157368415,1,42,-609.5452249579135,14,0,-534.1679439896943,9,0,-432.203151265148,0,11
49,2,0,-399.36203373202994,0,1,0,700,0.7822236754458713,-399.0473635030728,0,0,-399.07178466139686,0,0,-399.08579690307016,0,0,-399.6556977282077,0,0,-399.9495258644025,0,0
50,2,1,-497.90698999591683,0,1,0,700,0.778312557068642,-459.3263130001611,1,15,-543.3221063354824,6,18,-489.3686623819808,6,0,-597.6064584295004,9,21,-399.91140983245975,0,0
51,7,0,-417.42994337090056,0,1,0,700,0.7744209942832988,-414.2464941149663,1,0,-474.3095257695931,5,0,-399.2638245007654,0,0,-399.71193932294466,0,0,-399.61793314623225,0,0
52,3,0,-549.8314230585906,0,1,0,700,0.7705488893118823,-429.1781992185807,2,0,-563.9642770908692,11,0,-399.2662502783346,0,0,-423.2987125085604,0,8,-933.4496761966074,0,178
53,5,0,-433.52548781155735,0,1,0,700,0.7666961448653229,-399.32563708992967,0,0,-399.5071566547721,0,0,-426.4958230072354,0,9,-525.2780578934046,6,12,-417.02076441244515,0,6
54,0,0,-474.6437715580933,0,1,0,700,0.7628626641409962,-458.97829041123316,4,0,-564.2612240454956,11,0,-480.775552188389,0,27,-468.79404548312317,4,3,-400.4097456622235,0,0
55,1,0,-481.3768251153868,0,1,0,700,0.7590483508202912,-554.549216937284,7,17,-564.0880482245891,11,0,-489.0805307565281,6,0,-399.6001932704767,0,0,-399.5661363880556,0,0
56,6,0,-446.95360832154756,0,1,0,700,0.7552531090661897,-495.5238389232694,4,12,-399.7551597905239,0,0,-450.7516407891448,0,17,-399.5503907622605,0,0,-489.1870113425393,6,0
57,4,1,-402.42343712074137,0,1,0,700,0.7514768435208588,-410.2620249693342,0,4,-398.70996148338185,0,0,-404.7612925470639,0,2,-399.09568702994784,0,0,-399.2882195739777,0,0
58,0,1,-465.1495587803583,0,1,0,700,0.7477194593032545,-426.77257681963704,0,9,-399.7432061460722,0,0,-399.68679275390383,0,0,-609.7872369657973,14,0,-489.757981216382,6,0
59,5,1,-406.7048185363214,0,1,0,700,0.7439808620067382,-435.3415013813341,0,12,-399.6677987975326,0,0,-399.5116447906786,0,0,-399.53621870119264,0,0,-399.46692901086703,0,0
60,7,1,-442.93389752582635,0,1,0,700,0.7402609576967045,-399.60685463342776,0,0,-429.7185505496189,2,0,-489.7557264917327,6,0,-489.6419392849803,6,0,-405.946416669372,0,2
61,1,1,-678.9026316815181,0,1,0,700,0.736559652908221,-519.2015710422174,0,40,-431.9974293487712,1,6,-1167.303312870331,51,1,-744.3541680282083,23,0,-531.6566771180644,5,19
62,6,1,-403.43108238229104,0,1,0,700,0.7328768546436799,-399.3080363811357,0,0,-399.59388623213255,0,0,-420.32723883354186,0,7,-399.1290065591355,0,0,-398.79724390550916,0,0
63,3,1,-894.1597005273517,0,1,0,700,0.7292124703704616,-696.7423931582463,8,59,-474.6245360957191,5,0,-1071.9068254232707,13,159,-936.822051034171,33,14,-1290.7026969253545,59,2
64,0,1,249.71428571428572,1,0,0,1,0.7255664080186093,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
65,4,1,163.54678311375568,1,0,0,111,0.7219385759785162,163.74193137842366,0,0,163.45513726220514,0,0,163.52039738789728,0,0,163.32082549719016,0,0,163.69562404306208,0,0
66,4,0,-465.22325572571884,0,1,0,700,0.7183288830986236,-437.4471612238365,2,3,-503.7770434656619,7,0,-534.2969339835729,9,0,-435.6175462599991,2,2,-414.9775936955233,0,5
67,2,0,-411.14342584972326,0,1,0,700,0.7147372386831305,-399.0134978874279,0,0,-399.0040089768951,0,0,-398.9841226755052,0,0,-444.077245818393,3,0,-414.6382538903939,1,0
68,1,0,-97.24831459760483,1,0,0,443,0.7111635524897149,-97.22095794732883,0,0,-97.2257225629634,0,0,-97.26457935893316,0,0,-97.31633885543644,0,0,-97.21397426336293,0,0
69,6,1,-188.2779531328882,1,0,0,523,0.7076077347272662,-222.7519901121872,4,1,-186.94112729563446,0,9,-189.86757321956864,2,0,-160.30111627871602,0,0,-181.52795875833547,0,7
70,2,1,-425.14830640813574,0,1,0,700,0.7040696960536299,-444.4082276747937,3,0,-459.44754297329104,0,20,-399.49766711372115,0,0,-399.15624011777186,0,0,-423.2318541611028,0,8
71,3,0,-479.51284529746385,0,1,0,700,0.7005493475733617,-408.50366224385994,0,4,-399.61534026047224,0,0,-489.6411790826405,6,0,-699.8855416675563,20,0,-399.9185032327936,0,0
72,6,0,-452.8740011736838,0,1,0,700,0.697046600835495,-411.15964005908,0,4,-474.38750269443267,5,0,-519.787223205682,8,0,-459.55713974032295,4,0,-399.47850016890453,0,0
73,0,0,-400.3392813993236,0,1,0,700,0.6935613678313175,-402.18506145107096,0,1,-399.7326395299443,0,0,-399.8228411969037,0,0,-399.7421143851073,0,0,-400.21375043359205,0,0
74,1,1,-399.4907828477318,0,1,0,700,0.6900935609921609,-399.58693441857645,0,0,-399.48035781659877,0,0,-399.6167109121609,0,0,-399.472650756906,0,0,-399.29726033441466,0,0
75,5,0,-421.0671489742972,0,1,0,700,0.6866430931872001,-447.3570782678589,3,1,-459.4592685806001,4,0,-399.4963344782188,0,0,-399.48507642680124,0,0,-399.53798711800795,0,0
76,3,1,-409.9906542502862,0,1,0,700,0.6832098777212641,-405.3071973591689,0,2,-429.07989776984954,0,10,-399.28689288995724,0,0,-399.05853052854513,0,0,-417.22075270390945,0,6
77,7,0,-468.3303465198767,0,1,0,700,0.6797938283326578,-444.18235230228316,3,0,-699.219599765202,20,0,-399.116304962862,0,0,-399.43843713149795,0,0,-399.69503843754035,0,0
78,5,1,-584.3413388051464,0,1,0,700,0.6763948591909945,-399.6355412364696,0,0,-507.77558858102935,2,26,-564.4234636045495,11,0,-567.537896090589,0,56,-882.334204513093,31,6
79,7,1,-453.0695164421949,0,1,0,700,0.6730128848950395,-548.6884253848148,10,0,-428.7746687808145,2,0,-488.84322241378175,6,0,-399.35086114058305,0,0,-399.69040449097866,0,0
80,0,1,-405.0532084553055,0,1,0,700,0.6696478204705644,-429.45014956962626,0,10,-399.424733845336,0,0,-399.0594287987684,0,0,-398.91007997450475,0,0,-398.4216500882907,0,0
81,5,0,249.71428571428572,1,0,0,1,0.6662995813682115,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
82,4,1,-405.325032655038,0,1,0,700,0.6629680834613705,-398.84396450791627,0,0,-399.1104497469729,0,0,-399.3899321200419,0,0,-399.6547137984342,0,0,-429.62610310182674,2,0
83,4,0,-453.0356695646566,0,1,1,700,0.6596532430440636,-398.8860405898927,0,0,-489.0197435399055,7,0,-398.94312307873275,0,0,-504.25307389622907,7,0,-474.07636671852396,5,0
84,2,0,-399.6985458917276,0,1,0,700,0.6563549768288433,-399.25401189191115,0,0,-399.78911281822525,0,0,-399.88054873905617,0,0,-399.83402508152574,0,0,-399.73503092791987,0,0
85,3,0,-21.92088729408087,1,0,0,347,0.653073201944699,-21.791007246510162,0,0,-21.81859322361734,0,0,-21.970792800226036,0,0,-21.990123910599976,0,0,-22.033919289450836,0,0
86,1,0,-413.2579545980568,0,1,0,700,0.6498078359349755,-399.4916833720511,0,0,-399.35694224055555,0,0,-399.5409349031826,0,0,-399.3249809850799,0,0,-468.5752314894119,3,8
87,6,1,-408.54282072488144,0,1,0,700,0.6465587967553006,-405.29886324250316,0,2,-438.30998858864206,0,13,-399.32800258481853,0,0,-399.82301962314114,0,0,-399.95422958530145,0,0
88,2,1,-413.915608331446,0,1,0,700,0.6433260027715241,-405.0585723183837,0,2,-423.4768647340451,0,8,-438.5157009119037,0,13,-399.6087815775168,0,0,-402.9181221153787,0,1
89,0,0,-431.26238242078176,0,1,0,700,0.6401093727576664,-402.6215466111585,0,1,-441.6503996567618,0,14,-399.2729323008377,0,0,-411.3010379709954,0,4,-501.4659955641538,0,34
90,6,0,-414.8673046184021,0,1,0,700,0.6369088258938781,-408.68565321633184,0,3,-399.4664887289418,0,0,-399.32845064638326,0,0,-413.99756180486605,1,0,-452.85836869548996,3,3
91,1,1,-603.2651980497808,0,1,0,700,0.6337242817644086,-606.3882809850428,8,29,-954.3783412440847,37,0,-576.3303266537828,7,24,-435.20770529299637,0,12,-444.0213360729999,0,15
92,5,1,-514.3081428592134,0,1,0,700,0.6305556603555866,-555.944672999408,5,27,-399.66267593343207,0,0,-429.8765681358335,0,10,-786.6230746259283,23,14,-399.43372260146634,0,0
93,3,1,-481.5423360783656,0,1,0,700,0.6274028820538087,-398.98807784188944,0,0,-683.873926809649,11,40,-446.7643897208943,2,6,-458.59796420086195,1,15,-419.48732181853364,1,2
94,7,0,-563.1053278249028,0,1,0,700,0.6242658676435396,-489.32164888184167,6,0,-699.232485101304,20,0,-606.2868088467281,13,4,-591.2458003850221,12,4,-429.4398959096175,0,10
95,7,1,-509.12308750268727,0,1,0,700,0.6211445383053219,-699.3083587427732,20,0,-549.2185925801588,10,0,-402.45418624402726,0,1,-438.22831271603957,0,13,-456.4059872304365,0,19
96,5,0,-439.30170817230334,0,1,0,700,0.6180388156137953,-489.448724451191,3,15,-399.442400790292,0,0,-399.4635013411284,0,0,-490.0671546877194,6,0,-418.08675959118364,0,6
97,0,1,-417.69357419618126,0,1,0,700,0.6149486215357263,-399.38664084550004,0,0,-489.66665232250625,2,20,-399.70650306659735,0,0,-399.9013359242313,0,0,-399.8067388220685,0,0
98,4,1,-402.30532796330516,0,1,0,700,0.6118738784280476,-398.56465893376003,0,0,-398.85539401557486,0,0,-399.393961500231,0,0,-399.8454749508462,0,0,-414.86715041611546,1,0
99,4,1,215.08308971374055,1,0,0,42,0.6088145090359074,217.61011965895642,0,0,217.46021512350353,0,0,217.42981809228314,0,0,217.4610695284079,0,0,205.4542261655517,0,5
100,4,0,-454.1165498866541,0,1,0,700,0.6057704364907278,-458.9598617234387,4,0,-444.4662704139088,1,10,-444.46837951584604,2,5,-519.5632251798336,0,40,-403.12501260024425,0,1
101,2,0,-399.790972354432,0,1,0,700,0.6027415843082742,-399.60887727219205,0,0,-399.6118073858825,0,0,-399.81556306188116,0,0,-399.7949975404982,0,0,-400.123616511706,0,0
102,3,0,-762.5700845104295,0,1,0,700,0.5997278763867329,-654.7331894712115,17,0,-609.5407595426067,13,5,-834.7143822105578,16,66,-771.6454043151958,12,64,-942.2166870125751,36,1
103,1,0,-399.4753247957562,0,1,0,700,0.5967292370047992,-399.1258120919243,0,0,-399.3759176419941,0,0,-399.6768288962171,0,0,-399.4891248068664,0,0,-399.7089405417787,0,0
104,6,1,-431.7188992272311,0,1,0,700,0.5937455908197752,-402.676399666725,0,1,-481.07768830171693,1,22,-400.0277735036705,0,0,-444.92406973583866,3,0,-429.8885649282063,2,0
105,2,1,-437.3179218083049,0,1,0,700,0.5907768628656763,-578.4228923423839,11,5,-404.72281360684804,0,2,-404.76585136834325,0,2,-399.12696118981444,0,0,-399.5510905341347,0,0
106,6,0,-434.3768689754747,0,1,0,700,0.5878229785513479,-399.2057386754723,0,0,-444.68581355280264,0,15,-435.6565857453178,0,12,-405.68462920795093,0,2,-486.65157769583135,0,29
107,3,1,-420.28985684029766,0,1,0,700,0.5848838636585911,-399.66108692631934,0,0,-468.4544082561923,0,23,-399.2483437188515,0,0,-420.2989374449383,0,7,-413.78650785518494,0,5
108,7,0,-451.6276465568961,0,1,0,700,0.5819594443402982,-399.5295763534625,0,0,-399.3519636563455,0,0,-519.5103043043097,8,0,-399.2426941667567,0,0,-540.5036943036027,4,27
109,1,1,-411.1657461333495,0,1,0,700,0.5790496471185967,-429.42574916186993,2,0,-429.3552711234069,2,0,-399.12790506845755,0,0,-398.83542786912665,0,0,-399.0843774438856,0,0
110,0,0,-405.3290642275866,0,1,0,700,0.5761543988830038,-399.16412150863846,0,0,-429.1649108508945,2,0,-399.2687854031634,0,0,-399.26054476184606,0,0,-399.7869586133906,0,0
111,7,1,-470.28577599679454,0,1,0,700,0.5732736268885887,-399.25938192573426,0,0,-399.6400564941313,0,0,-399.5490772902641,0,0,-399.45094998217013,0,0,-753.5294142916721,23,3
112,5,1,-429.6378203208882,0,1,0,700,0.5704072587541458,-414.77744120834706,0,5,-534.6322592021346,9,0,-399.6320673725226,0,0,-399.4399663518054,0,0,-399.70736746963127,0,0
113,5,0,-551.7476230380091,0,1,0,700,0.567555222460375,-459.23656014219466,4,0,-1065.6300801036043,41,17,-411.5591833545399,0,4,-399.34747434413885,0,0,-422.9648172455663,0,8
114,0,1,-438.44366358254877,0,1,0,700,0.5647174463480732,-420.90528587894005,0,7,-414.78953277621997,0,5,-414.2895285948789,1,0,-504.26167129899125,7,0,-437.97229936371286,0,13
115,4,1,-398.89095771288055,0,1,0,700,0.5618938591163328,-398.69708558240904,0,0,-398.70162852319754,0,0,-398.7054760469804,0,0,-399.14486720804393,0,0,-399.20573120377,0,0
116,4,0,-414.4574639226729,0,1,0,700,0.5590843898207511,-413.83517455485514,1,0,-420.275413589802,0,7,-429.6199015874582,2,0,-399.5998314520111,0,0,-408.9569984292402,0,3
117,2,0,-416.55525590388226,0,1,0,700,0.5562889678716474,-397.8826368377786,0,0,-428.3005247326773,2,0,-398.70110773514057,0,0,-458.93120251302844,4,0,-398.96080770078896,0,0
118,3,0,-411.5115807424092,0,1,0,700,0.5535075230322891,-429.11076430817116,0,11,-399.6681037579994,0,0,-411.6328913594375,0,4,-414.5927597600315,0,5,-402.55338452640564,0,1
0,6,0,249.71428571428572,1,0,0,1,1.0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1,3,1,241.07445418850895,1,0,0,12,0.995,241.09959264628853,0,0,241.11522486879718,0,0,241.05576199304917,0,0,241.04677193298622,0,0,241.05491950142365,0,0
2,4,0,205.84801364941242,1,0,0,57,0.990025,205.73181693846396,0,0,205.7202727253419,0,0,205.96668570927486,0,0,205.8809729172636,0,0,205.94031995671784,0,0
3,6,1,201.0546957494172,1,0,0,63,0.985074875,201.05706733963567,0,0,201.04899648680117,0,0,201.0330877718038,0,0,201.05064539255744,0,0,201.0836817562879,0,0
4,6,1,235.5738001624973,1,0,0,19,0.9801495006250001,235.6161335916464,0,0,235.55660750773887,0,0,235.56302107885875,0,0,235.55596441472878,0,0,235.5772742195137,0,0
5,2,1,-143.47467123009244,1,0,0,491,0.9752487531218751,-156.58385652406832,0,7,-156.2502997040296,0,7,-134.83549169595886,0,0,-134.84519423708147,0,0,-134.85851398932377,0,0
6,5,0,-581.3805407009216,0,1,0,700,0.9703725093562657,-471.7088273729599,1,19,-429.73494018954085,2,0,-969.9014779251434,34,21,-538.4739727212404,0,46,-497.08348529572476,0,32
7,7,0,-595.7721502982597,0,1,0,700,0.9655206468094844,-606.5007651894012,11,14,-597.5261344631416,12,6,-699.6388709871168,20,0,-585.6987612060607,0,62,-489.4962196455777,0,30
